query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
1,0,8948,1278,4jb0_FER_A_401,2,diffdock,,,,,0,23.46996
2,0,2243,320,1p5g_G6P_X_658,3,diffdock_l,,,,,1.3246956e-05,19.524774
3,0,9855,1407,4q40_VAL_D_403,6,smina,,,,,0.00063821345,0.98148945
4,0,15402,2200,6gl4_GLU_A_301,2,diffdock,,,,,0,21.67527
5,0,1179,168,1hkn_N2M_D_5139,3,diffdock_l,,,,,0,20.48193
6,0,8699,1242,4i4v_NGA_D_202,5,autodock,,,,,0.00053691905,9.4413436
7,0,646,92,1fuq_CIT_B_1002,2,diffdock,,,,,0,24.00909
8,0,17286,2469,6u6c_P1T_D_505,3,diffdock_l,,,,,0,18.156978
9,0,12083,1726,5g4r_LF1_D_1739,1,unimol,,,,,0.9944272,23.76
10,0,4373,624,2fr6_CTN_D_1004,5,autodock,,,,,0,717.44093
11,0,1680,240,1kya_XYD_D_814,0,surfdock,,,,,0.015163434,2.0970058
12,0,10136,1448,4u8p_UDP_A_603,0,surfdock,,,,,0.89250141,1.9156895
13,0,17662,2523,6zi7_RAM_D_503,1,unimol,,,,,0,26.98
14,0,4528,646,2gzm_DGL_C_503,6,smina,,,,,0.99347535,1.6097062
15,0,8330,1190,4fxr_BMP_B_301,0,surfdock,,,,,0.99338946,3.873482
16,0,3046,435,1v3v_5OP_A_1360,1,unimol,,,,,0.98622764,20.61
17,0,14416,2059,5ybp_8SX_B_303,3,diffdock_l,,,,,0,42.026549
18,0,2190,312,1om5_INE_A_790,6,smina,,,,,2.8345976e-05,0.8530172
19,0,7879,1125,4d06_NAR_D_302,4,gnina,,,,,5.4518072e-07,5.2473687
20,0,7632,1090,4cjv_IV2_A_1212,2,diffdock,,,,,1.467248e-17,19.252405
21,0,1710,244,1lc8_33P_A_800,2,diffdock,,,,,0,29.737561
22,0,551,78,1f5f_DHT_A_253,5,autodock,,,,,0,514.77285
23,0,17735,2533,7c7g_FJR_B_402,4,gnina,,,,,0.0037554411,3.4803722
24,0,5812,830,2xul_AKG_A_201,2,diffdock,,,,,6.117656e-87,22.325806
25,0,5479,782,2v32_BEZ_B_1220,5,autodock,,,,,0.99409631,12.10005
26,0,17627,2518,6zac_QDE_A_4000,1,unimol,,,,,0.9478002,23.68
27,0,640,91,1fuq_CIT_A_1001,3,diffdock_l,,,,,0,37.174411
28,0,13704,1957,5ud0_13P_B_405,5,autodock,,,,,0.74190483,10.876546
29,0,6906,986,3wlf_FEH_A_401,4,gnina,,,,,0.95949053,3.0476078
30,0,17457,2493,6vv9_RQ1_B_304,6,smina,,,,,7.5524823e-10,6.8858042
31,0,9823,1403,4pxd_1AL_B_502,2,diffdock,,,,,0,28.893435
32,0,5549,792,2vkg_CF4_A_1064,5,autodock,,,,,0,5.6368815
33,0,7373,1053,4aw0_MJF_A_600,2,diffdock,,,,,0,23.894527
34,0,15792,2256,6jz6_CKX_B_701,0,surfdock,,,,,0.85205996,2.9694935
35,0,13678,1954,5u8z_83D_D_602,0,surfdock,,,,,0,3.5406719
36,0,13736,1962,5uda_CAE_B_502,2,diffdock,,,,,1.0874462e-54,24.747385
37,0,17718,2531,7bzm_GIM_A_501,1,unimol,,,,,0.84724148,19
38,0,15250,2178,6fld_NAG_A_602,4,gnina,,,,,2.2550837e-08,2.0782875
39,0,16515,2359,6pmv_M16_A_803,2,diffdock,,,,,0,40.461775
40,0,2901,414,1tt6_DES_B_128,3,diffdock_l,,,,,0.051962914,45.935652
41,0,9851,1407,4q40_VAL_D_403,2,diffdock,,,,,0.99570508,26.812072
42,0,7381,1054,4b1f_DGL_B_1256,3,diffdock_l,,,,,1.7780619e-23,56.523494
43,0,13734,1962,5uda_CAE_B_502,0,surfdock,,,,,0.50867144,2.2577718
44,0,10544,1506,4xti_IMP_A_601,2,diffdock,,,,,0,35.566447
45,0,6319,902,3roe_THM_B_265,5,autodock,,,,,0,482.17336
46,0,3427,489,1y5x_E89_D_1500,4,gnina,,,,,0.93575804,4.3976203
47,0,5585,797,2vp5_DCZ_A_1210,6,smina,,,,,0,2.2148211
48,0,6329,904,3roe_THM_F_265,1,unimol,,,,,0,26.12
49,0,8978,1282,4jm8_26D_A_302,4,gnina,,,,,0.28426601,1.4039109
50,0,2936,419,1u18_HSM_B_402,3,diffdock_l,,,,,1.8079474e-07,13.8051
51,0,174,24,1axg_ETF_C_404,6,smina,,,,,0.93178758,0.53518158
52,0,7727,1103,4clr_FDB_A_1270,6,smina,,,,,0,0.74761011
53,0,17784,2540,7joc_ARZ_A_302,4,gnina,,,,,0.96316359,3.0039637
54,0,7729,1104,4clr_FDB_B_1270,1,unimol,,,,,0.99065635,16.92
55,0,1158,165,1h8p_PC_B_1111,3,diffdock_l,,,,,2.601411e-47,10.548914
56,0,5618,802,2w0b_CMW_A_1450,4,gnina,,,,,0,4.9777995
57,0,9228,1318,4lcq_URQ_A_603,2,diffdock,,,,,0,30.149476
58,0,11428,1632,5did_5CK_B_601,4,gnina,,,,,0.21551187,2.9601017
59,0,5118,731,2q6m_P34_A_1002,1,unimol,,,,,0,20.68
60,0,1695,242,1l4n_NIO_A_991,1,unimol,,,,,0.99500638,18.64
61,0,353,50,1d7a_AIR_C_400,3,diffdock_l,,,,,0,47.180455
62,0,7212,1030,4a78_JZ3_A_1296,2,diffdock,,,,,0.99271648,14.066486
63,0,14774,2110,6b9p_D0J_B_1001,4,gnina,,,,,1.8128942e-08,17.212237
64,0,10073,1439,4tq4_DMA_A_403,0,surfdock,,,,,0.95627539,2.8681384
65,0,16259,2322,6nig_NAG_A_605,5,autodock,,,,,1.0605906e-08,6.1617433
66,0,12817,1831,5joy_6LW_B_602,0,surfdock,,,,,0.0075773133,2.4667985
67,0,2332,333,1pl6_572_B_407,1,unimol,,,,,0.94468091,29.62
68,0,5005,715,2pir_NK_A_933,0,surfdock,,,,,0.021549995,2.2585213
69,0,8211,1173,4ejh_0QA_E_502,0,surfdock,,,,,0.72563523,3.0545412
70,0,10713,1530,4za7_4LV_A_606,3,diffdock_l,,,,,0,23.621263
71,0,6099,871,2zut_A2G_C_4003,2,diffdock,,,,,0,30.149476
